Job Title,Company,Location,Required Skills,Years of Experience Required,Shortened Job Description (5–8 lines),URL
AI/ML Engineer (Recent Grad),Nightfall AI,"Palo Alto, CA",aws; c++; deep learning; gcp; go; java; machine learning; natural language processing; nlp; python; pytorch; r; rust,0,"About Nightfall: Nightfall is the AI-native, unified data loss prevention and insider risk management platform that protects sensitive data across SaaS apps, GenAI tools, email, endpoint devices, and more. Hundreds of customers, spanning AI innovators to top 10 banks, trust Nightfall to detect and stop data exfiltration at scale. Nightfall enables organizations to innovate freely without the risks of losing intellectual property or exposing customer data. Our agentic platform helps security teams regain their time by putting data loss prevention on autopilot. With automatic remediation, security violations can be resolved automatically before they become incidents, and end-users can be automatically trained and coached in the moment to self-heal violations that they introduce. Nightfall...",https://www.linkedin.com/jobs/view/ai-ml-engineer-recent-grad-at-nightfall-ai-4333294031?position=2&pageNum=0&refId=QfLRUd4c1u%2BWW%2BPsy0Kqmw%3D%3D&trackingId=MHC2uMZYkAplj%2Ff0eXMaiQ%3D%3D
AI/ML Engineer,Sectech Solutions,"East Lansing, MI",airflow; aws; azure; docker; go; machine learning; numpy; pandas; python; pytorch; r; scikit-learn; sql; tensorflow,5,"AI/ML ENGINEER 100% OFFICE WORKING - EAST LANSING, MICHIGAN SALARY $70K-$120K Design, build, and deploy AI and machine learning systems that deliver measurable business value at our Financial Services client. As part of the AI & Automation team, contribute across the full engineering lifecycle—from data analysis and model development through production deployment. Depending on experience, this role may emphasize quantitative modeling alongside a senior data scientist, or production engineering of AI-powered systems. We are building a new team and hiring at multiple levels. Core Responsibilities Design and implement AI solutions including document intelligence, knowledge search (RAG), and process automation Build and maintain production data pipelines: ingestion, transformation, feature...",https://www.linkedin.com/jobs/view/ai-ml-engineer-at-sectech-solutions-4382452328?position=3&pageNum=0&refId=QfLRUd4c1u%2BWW%2BPsy0Kqmw%3D%3D&trackingId=ulQ8%2FoyqNRZbxsvpLkY1Pw%3D%3D
"Machine Learning Engineer - LLM, AI & Robotics",XPENG,"Santa Clara, CA",computer vision; deep learning; go; machine learning; natural language processing; nlp; python; r,7,"XPENG is a leading smart technology company at the forefront of innovation, integrating advanced AI and autonomous driving technologies into its vehicles, including electric vehicles (EVs), electric vertical take-off and landing (eVTOL) aircraft, and robotics. With a strong focus on intelligent mobility, XPENG is dedicated to reshaping the future of transportation through cutting-edge R&D in AI, machine learning, and smart connectivity. Job Responsibilities Fine-tune the pre-trained LLM on particular use cases in Humanoid Robots and Autonomous Driving Cars, e.g. chat, API calling, etc. Work on efficient LLMs (e.g. small LLMs, weight sharing, model quantization, etc.) that can be deployed locally in Robots and Cars. Develop and maintain the LLM (including multi-modal LLM) training and...",https://www.linkedin.com/jobs/view/machine-learning-engineer-llm-ai-robotics-at-xpeng-4383752864?position=4&pageNum=0&refId=QfLRUd4c1u%2BWW%2BPsy0Kqmw%3D%3D&trackingId=YufSbZXhHqOZaQ89MbRznw%3D%3D
"Software Engineer, AI Platform - New Grad",Nuro,"Mountain View, CA",c++; go; machine learning; python; r; scala,5,"Who We Are Nuro is a self-driving technology company on a mission to make autonomy accessible to all. Founded in 2016, Nuro is building the world’s most scalable driver, combining cutting-edge AI with automotive-grade hardware. Nuro licenses its core technology, the Nuro Driver™, to support a wide range of applications, from robotaxis and commercial fleets to personally owned vehicles. With technology proven over years of self-driving deployments, Nuro gives the automakers and mobility platforms a clear path to AVs at commercial scale—empowering a safer, richer, and more connected future. About The Role Our software team is growing, and we are looking for talented engineers who are graduating by July 2026 to join us and be instrumental to one of the following areas: Data Platform, Onboard...",https://www.linkedin.com/jobs/view/software-engineer-ai-platform-new-grad-at-nuro-4317707969?position=5&pageNum=0&refId=QfLRUd4c1u%2BWW%2BPsy0Kqmw%3D%3D&trackingId=h39AEFwjr3%2BZmzgII%2FB7zQ%3D%3D
Python Developer - AI/ML applications,Mphasis,"New York, United States",machine learning; numpy; pandas; python; r; scala; spark,5,"Role description Job Title - Python Developer ( Deploying AI/ML applications) Location - Iselin NJ (ONSITE from day 1) We are seeking a highly skilled Python Developer with hands‑on experience in building and deploying AI/ML applications . In this role, you will work closely with Senior Engineers, leads, and product teams to design scalable machine learning pipelines, optimize model performance, and deliver production‑ready AI solutions. Key Responsibilities Develop, optimize, and maintain Python-based applications for AI/ML use cases. Build scalable data processing pipelines using frameworks such as Pandas, NumPy, and PySpark. Collaborate to train, evaluate, and deploy machine learning models . Implement end‑to‑end ML workflows including feature engineering, model serving, and monitoring...",https://www.linkedin.com/jobs/view/python-developer-ai-ml-applications-at-mphasis-4380208215?position=6&pageNum=0&refId=QfLRUd4c1u%2BWW%2BPsy0Kqmw%3D%3D&trackingId=VpnNyG1f02FFSbQ94%2F30Qw%3D%3D
Machine Learning Engineer,Baselayer,"San Francisco, CA",go; machine learning; python; r; reinforcement learning; rust; scala,8,"About Baselayer: Trusted by 2,200+ financial institutions, Baselayer is the intelligent business identity platform that helps verify any business, automate KYB, and monitor real-time risk. Baselayer’s B2B risk solutions & identity graph network leverage state & federal government filings and proprietary data sources to prevent fraud, accelerate onboarding, and lower credit losses. About You: You want to learn from the best of the best, get your hands dirty, and put in the work to hit your full potential. You're not just doing it for the win—you're doing it because you have something to prove and want to be great. You are looking to be an impeccable machine learning engineer working on cutting-edge AI solutions. You have 4-8 years of experience in machine learning development, working with...",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-baselayer-4383778052?position=7&pageNum=0&refId=QfLRUd4c1u%2BWW%2BPsy0Kqmw%3D%3D&trackingId=UbT80RC9XgmEi8cknrop%2Fw%3D%3D
AI/ML Engineer,Involved Solutions,"Texas, United States",docker; go; kubernetes; mlops; python; pytorch; r; rust; scala; tensorflow,5,"We have partnered with a global AI-led professional services firm specialising in advisory, technology and managed services across the government and commercial sectors to appoint an AI/ML Engineer. This is a senior hands-on role for an engineer who thrives in a client-facing delivery environment, building and deploying production-grade AI systems that solve real problems at scale. You will play a central role in shaping how the firm engineers and delivers AI solutions across a growing portfolio of government and public sector clients. This role suits someone who combines deep technical capability with the communication skills and commercial awareness to operate as a trusted partner to clients and internal stakeholders alike. If you have built agentic AI systems in production and want to...",https://www.linkedin.com/jobs/view/ai-ml-engineer-at-involved-solutions-4383714497?position=8&pageNum=0&refId=QfLRUd4c1u%2BWW%2BPsy0Kqmw%3D%3D&trackingId=exShURdHmRW2wf38UEobzQ%3D%3D
Machine Learning  Engineer,Colgate-Palmolive,"New York, NY",airflow; aws; docker; go; kubernetes; machine learning; mlops; python; r; rust; scala; scikit-learn; sql,1,"No Relocation Assistance Offered Job Number #171679 - New York, New York, United States Who We Are Colgate-Palmolive Company is a global consumer products company operating in over 200 countries specializing in Oral Care, Personal Care, Home Care, Skin Care, and Pet Nutrition. Our products are trusted in more households than any other brand in the world, making us a household name! Join Colgate-Palmolive, a caring, innovative growth company reimagining a healthier future for people, their pets, and our planet. Guided by our core values—Caring, Inclusive, and Courageous—we foster a culture that inspires our people to achieve common goals. Together, let's build a brighter, healthier future for all. Overview We are seeking a Machine Learning Engineer who brings the analytical rigor of a data...",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-colgate-palmolive-4376942359?position=9&pageNum=0&refId=QfLRUd4c1u%2BWW%2BPsy0Kqmw%3D%3D&trackingId=1EdbeqbP11PmEcbkZvxIoA%3D%3D
Data Scientist,Zest AI,United States,machine learning; python; r; scikit-learn; spark; xgboost,0,"Founded in 2009, Zest AI is transforming the $17 trillion U.S. consumer credit market through AI-driven technology that helps lenders identify creditworthy borrowers overlooked by traditional methods. Our platform enables financial institutions of all sizes to harness AI to improve underwriting accuracy, expand credit access, and deliver better lending experiences. With more than 600 active AI models and over 50 issued and pending patents, Zest AI provides solutions across marketing, underwriting, fraud detection, and lending intelligence. Headquartered in Los Angeles, Zest AI partners with financial institutions to make smarter lending decisions while strengthening the resilience of the U.S. financial system. Data Scientists at Zest AI use the power of machine learning (ML) and...",https://www.linkedin.com/jobs/view/data-scientist-at-zest-ai-4382467272?position=10&pageNum=0&refId=QfLRUd4c1u%2BWW%2BPsy0Kqmw%3D%3D&trackingId=sga65NQbm8%2BVqxM5wRsK2g%3D%3D
AI/ML developer,Saransh Inc,"Jersey City, NJ",aws; deep learning; go; mlops; numpy; pandas; python; pytorch; r; tensorflow; xgboost,3,"Required Skills Skill Python, NumPy, Pandas PyTorch, TensorFlow, XGBoost Experience with LLMs (OpenAI, Hugging Face) REST APIs, Flask/FastAPI AWS MLOps (model deployment, monitoring, CI/CD) Vector DBs (e.g., FAISS, Pinecone) Job Responsibilities Develop and maintain ML/AI models and services. Integrate LLMs into production environments. Work closely with data scientists and DevOps. Optimize model performance and deployment. Good Knowledge in Deep Learning, Model Validation, classification, clustering",https://www.linkedin.com/jobs/view/ai-ml-developer-at-saransh-inc-4332071682?position=1&pageNum=2&refId=qnv5GiHNBjCcrDJ7g4BI8w%3D%3D&trackingId=%2F7ApT%2Bqq81OI8m%2BOatDJMg%3D%3D
Machine Learning Engineer,Energize Group,"Boston, MA",aws; computer vision; deep learning; docker; gcp; go; machine learning; python; pytorch; r,5,"Senior Machine Learning Engineer, Perception R&D 📍 Boston, MA (Hybrid) Our client, a fast-growing and well-funded robotics company, is looking for a Senior Machine Learning Engineer (Perception R&D) to help push the boundaries of robotic perception in real-world warehouse environments. This is an opportunity to work at the intersection of robotics, computer vision, and foundation models , solving some of the hardest problems in automation. You will be focused on enabling robots to understand and manipulate complex, unpredictable environments by leveraging Vision-Language Models, Generative AI, and large-scale foundation models . The team is tackling the “long tail” of real-world perception problems such as novel packaging, damaged goods, occlusions, and challenging lighting conditions ,...",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-energize-group-4382443674?position=2&pageNum=2&refId=qnv5GiHNBjCcrDJ7g4BI8w%3D%3D&trackingId=fm53fwMcWp7IoQuFdZPxbg%3D%3D
Data Scientist,Consumers Energy,"Jackson, MI",databricks; go; machine learning; python; r; rust; spark,1,"Consumers Energy is Michigan’s largest energy provider, providing natural gas and/or electricity to 6.8 million of the state’s 10 million residents in all 68 Lower Peninsula counties. Consumers Energy knows job number one is to keep the lights on for customers. We are committed to delivering reliable, clean, and affordable energy to our customers 24/7. This position is not eligible for immigration sponsorship, e.g., H-1B, TN, etc. Please do not apply if you will need immigration sponsorship for a work visa now or in the future, including sponsorship for H-1B, TN, etc., now or in the future. We are unable to hire individuals with CPT, OPT, or STEM OPT for this position as the position is not eligible for participation in the H-1B lottery program and is not eligible for current or future...",https://www.linkedin.com/jobs/view/data-scientist-at-consumers-energy-4382457133?position=4&pageNum=2&refId=qnv5GiHNBjCcrDJ7g4BI8w%3D%3D&trackingId=M0gzqiPLj5jCW5VLug784w%3D%3D
Jr. AI Front-end Engineer,Klarity,"San Francisco, CA",go; r; scala,2,"Experience: 1-2 years of shipping production code (or exceptional new grads with strong portfolios) Location: San Francisco / Bay Area (Relocation assistance available) Job Type: Full-time About Klarity Klarity (YC S18) is building multimodal AI agents that replace how Fortune 500s understand and transform their operations. Big companies pay consultants millions to document processes and analyze operations. It takes months and goes stale immediately. We built multimodal AI agents that do it continuously. OpenAI, Google, DoorDash, ServiceNow and many others are using Klarity to replace that entire process. We shipped GPT-4 document chat within 12 hours of OpenAI's launch. We believe speed and quality happen together when you're thoughtful about how you build. The Role We are looking for a...",https://www.linkedin.com/jobs/view/jr-ai-front-end-engineer-at-klarity-4373074151?position=5&pageNum=2&refId=qnv5GiHNBjCcrDJ7g4BI8w%3D%3D&trackingId=2Dayc0gUY8vZ335wFpQhfQ%3D%3D
Machine Learning Engineer,AfterQuery,"San Francisco, CA",aws; gcp; go; machine learning; nlp; python; pytorch; r; tensorflow,5,"As one of our core machine learning engineers, you'll sit at the intersection of applied ML and infrastructure, building the models and systems that power how frontier AI labs develop their next generation of models. You will be one of our first hires, and will get a lot of responsibility, owning entire projects end-to-end – meaning you can see your impact instantly. Total Compensation: $200K - $500K Company Overview AfterQuery is a research lab investigating the boundaries and capabilities of artificial intelligence through novel datasets and experimentation. Our customers are the foundation model labs, and we serve all of the frontier AI labs. We are based in San Francisco, CA, and have raised funding from top investors, including Y Combinator and BoxGroup, ex-partners from Lightspeed...",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-afterquery-4383436713?position=6&pageNum=2&refId=qnv5GiHNBjCcrDJ7g4BI8w%3D%3D&trackingId=fzID13pa17CdPTiepB6YHA%3D%3D
AI/Machine Learning Engineer Intern,Handshake,"San Francisco, CA",aws; azure; go; machine learning; nlp; python; pytorch; r; rust; sql; tensorflow,0,"About Handshake Handshake is the career network for the AI economy. More than 20 million knowledge workers, 1,600 educational institutions, and 1 million employers — including 100% of the Fortune 50 — trust Handshake to power career discovery, hiring, and upskilling. From freelance AI training gigs to first internships to full-time careers and beyond, we connect talent with opportunity at every stage. This unique position in the ecosystem is driving exceptional growth — in 2025, we tripled ARR at scale. Why Join Handshake Now Shape how careers evolve in the AI economy at global scale, with visible real-world impact Work directly with leading AI labs, Fortune 500 partners, and top educational institutions Help build a rapidly scaling business on a path toward multi-billion-dollar revenue...",https://www.linkedin.com/jobs/view/ai-machine-learning-engineer-intern-at-handshake-4376135321?position=10&pageNum=2&refId=qnv5GiHNBjCcrDJ7g4BI8w%3D%3D&trackingId=DQH4jXx%2B1%2BgDfAzOYCB1Jw%3D%3D
AI Software Engineer,SWITS DIGITAL Private Limited,United States,c++; go; java; python; r; rust; scala,5,"Greetings from Smartwork IT Services! We are seeking an AI software engineering specialist with strong LLM experience with one of our clients. Job Title: AI Software Engineer Location: US - Remote Job Type: Fulltime Job Description Project Overview As a Software Engineering evaluator, you will create cutting-edge datasets for training, benchmarking, and advancing large language models, collaborating closely with researchers. This includes curating code examples, providing precise solutions, and making corrections in Python, JavaScript (including ReactJS), C/C++, Java, Rust, and Go; evaluating and refining AI-generated code for efficiency, scalability, and reliability; and working with cross-functional teams to enhance enterprise-level AI-driven coding solutions. Roles & Responsibilites...",https://www.linkedin.com/jobs/view/ai-software-engineer-at-swits-digital-private-limited-4383757721?position=2&pageNum=5&refId=3M1%2F%2FJ3LfBXagp24FRevCg%3D%3D&trackingId=h%2F66Dl2d9YDPb3TWfQaChA%3D%3D
Machine Learning Engineer,Barrington James,United States,computer vision; machine learning; pytorch; r; tensorflow,2,"Machine Learning Engineer - Cancer AI | Fully Remote | $150k–$170k + Equity I'm working with a confidential client on an exciting and genuinely impactful ML Engineer opportunity in the cancer AI space. The company has developed an FDA-cleared multimodal AI test for personalised cancer treatment, and it works. The mission now is to push their 3rd generation foundation model from great to near-perfect, improving robustness and generalisation across diverse patient populations. This is a research AND engineering role. The whole team codes, and codes well. What you'll be working on: Self-supervised learning models for digital pathology and whole-slide image analysis Multimodal model development combining imaging, clinical, and molecular data End-to-end model development from training through...",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-barrington-james-4383783267?position=4&pageNum=5&refId=3M1%2F%2FJ3LfBXagp24FRevCg%3D%3D&trackingId=KIg5rxvS5YGEelLEb6RVfA%3D%3D
AI Engineer,Luck Companies,"Manakin Sabot, VA",aws; azure; c++; deep learning; gcp; go; java; machine learning; nlp; python; pytorch; r; reinforcement learning; scala; scikit-learn,3,"Job Details Description JOB SUMMARY: Leveraging a strong background in machine learning, artificial intelligence, and data science, the AI engineer will design, develop, and deploy AI solutions to address business challenges and optimize operations. Work closely with cross-functional teams to integrate AI models into products and services, helping to drive business transformation and innovation. Essential Functions 60% of job: Development Design, develop, and implement AI and machine learning models for a variety of business applications, including data analysis, predictive modeling, and automation. Collaborate with data scientists and software engineers to integrate AI solutions into existing systems and platforms. Ensure the scalability and performance of AI models by optimizing...",https://www.linkedin.com/jobs/view/ai-engineer-at-luck-companies-4380617943?position=5&pageNum=5&refId=3M1%2F%2FJ3LfBXagp24FRevCg%3D%3D&trackingId=biA5KjTJ5%2FTWCU%2B9s7zPcw%3D%3D
Machine Learning Engineer,Aether,"Menlo Park, CA",aws; go; machine learning; numpy; pandas; python; pytorch; r; reinforcement learning; rust; sql,0,"At Aether, we are building a full-stack machine learning system to predict the outcomes of high-throughput laboratory experiments. Our goal is to transform noisy, real-world biological data into reliable, auditable, and predictive systems that accelerate scientific discovery. As a Senior Machine Learning Engineer, manage and improve the end-to-end ML and data pipeline that connects automated laboratory systems to production-grade models. This is not a model-tuning role. You will design the infrastructure, signal processing systems, and model architectures that turn experimental chaos into structured insight. You’ll work at the intersection of software engineering, applied ML research, and computational science - partnering closely with lab engineers and scientists to ensure our systems...",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-aether-4376043570?position=6&pageNum=5&refId=3M1%2F%2FJ3LfBXagp24FRevCg%3D%3D&trackingId=js9kqayarSvljAjxJmJwIA%3D%3D
AI Developer,PETADATA,"Albany, NY",airflow; aws; azure; computer vision; deep learning; docker; gcp; go; java; kubernetes; machine learning; mlflow; mlops; nlp; numpy,6,"Position: AI Developer Location: Albany, NY (Onsite/Remote) Experience: 13+ Years Work type: C2C only Visa Type: H1-B, GC and US Citizen PETADATA is currently hiring for an AI Developer for one of their clients. Roles & Responsibilities AI / ML Model Development Design, develop, train, and deploy machine learning and deep learning models Select appropriate algorithms for supervised, unsupervised, and reinforcement learning Fine-tune models for accuracy, performance, and scalability Data Engineering & Preparation Collect, clean, preprocess, and label structured and unstructured data Perform feature engineering and data transformation Handle large datasets using tools like Pandas, NumPy, Spark Model Training & Evaluation Train models using frameworks such as TensorFlow, PyTorch,...",https://www.linkedin.com/jobs/view/ai-developer-at-petadata-4383831990?position=7&pageNum=5&refId=3M1%2F%2FJ3LfBXagp24FRevCg%3D%3D&trackingId=QcJ9NXW3ORfU5Dn7NjgH%2Fg%3D%3D
Machine Learning Engineer,Tagup,"Boston, MA",aws; azure; gcp; go; kubernetes; machine learning; mlflow; mlops; python; pytorch; r; sql; tensorflow,4,"Tagup is a defense technology company founded at MIT that is redefining logistics superiority with next-generation AI. We’re growing rapidly and are looking for change-makers passionate about delivering innovative technologies to solve the most challenging problems in the world’s highest stakes environments. This is an exciting opportunity to engage in meaningful work that strengthens national security and contributes to the success of U.S. and allied forces. Join us in shaping the future of defense logistics for a safer tomorrow. We are seeking a Machine Learning Engineer to join our Salt Lake City team and help shape the next generation of AI-driven defense and aviation systems. In this role, you’ll go beyond building models — you’ll design, deploy, and scale AI solutions that directly...",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-tagup-4374124209?position=8&pageNum=5&refId=3M1%2F%2FJ3LfBXagp24FRevCg%3D%3D&trackingId=9tkHwAMjvuomvIKwDXaGaA%3D%3D
ML Engineer,BitsBody,"Fresno, CA",aws; c++; computer vision; deep learning; docker; gcp; go; kubernetes; machine learning; python; pytorch; r; scala; scikit-learn; sql,3,"About The Opportunity An early-stage startup company in the medical technology sector that is disrupting orthopedic R&D by providing high-fidelity, ready-to-use 3D anatomical models, specifically designed for computational biomechanics. We are seeking a Machine Learning (ML) Engineer to productionize 3D ML models, own pipelines, and partner closely with the engineering team. If you enjoy end-to-end ownership and thrive on shipping reliable 3D ML systems that run across edge and cloud, and want to work on impactful orthopedic R&D products, we want to hear from you. Primary title (standardized): Machine Learning Engineer Location & Work Type: Fresno, California, United States — Hybrid role Roles & Responsibilities Design, train, and validate production-grade 3D ML models for multimodal...",https://www.linkedin.com/jobs/view/ml-engineer-at-bitsbody-4379604077?position=9&pageNum=5&refId=3M1%2F%2FJ3LfBXagp24FRevCg%3D%3D&trackingId=9zT9yOR1%2BBGjlkMjtfLb%2FQ%3D%3D
Python Machine Learning Model Developer,Capgemini,"New York, United States",go; machine learning; python; r,6,"Position Title : Python Machine Learning Model Developer Location : New York, NY (Onsite/Hybrid) Experience : 6+ Years Employee Type : Full Time with Benefits Job Description We are seeking a highly motivated Machine Learning professional skilled in Python/R to design, develop, and implement financial and risk models. The role involves working with cross‑functional stakeholders, applying statistical and ML techniques on large datasets, and supporting regulatory stress testing and business forecasting activities. Must have skills: Develop financial and risk models using Python/R for regulatory stress testing and enterprise risk management. Build model execution workflows for forecasting Balance Sheet, Fee Revenues, Macroeconomic Indicators, Expenses , and related risk metrics. Apply...",https://www.linkedin.com/jobs/view/python-machine-learning-model-developer-at-capgemini-4376424726?position=1&pageNum=7&refId=7zuenQNvJTxWBdynTuByWA%3D%3D&trackingId=HnuWdUb9bM5uQNds5851sQ%3D%3D
AI/ML Engineer,Brain Co.,San Francisco Bay Area,databricks; go; machine learning; pytorch; r; scala; tensorflow,7,"About Brain Co. Brain Co. is building the infrastructure that turns advanced AI research into real-world impact. We work at the frontier of productionizing AI for complex, high-stakes environments—particularly in government and regulated industries where manual workflows still dominate. Our mission is to make AI systems reliable, scalable, and dependable in the real world. That means going beyond demos and models to build robust platforms that support complex workflows, human-in-the-loop processes, and production-grade reliability at scale. About The Role As an AI/ML Engineer at Brain Co., you will play a crucial role in deploying state-of-the-art models to automate various real world problems in sectors such as healthcare, government and energy. Part of the role will involve turning...",https://www.linkedin.com/jobs/view/ai-ml-engineer-at-brain-co-4275844846?position=2&pageNum=7&refId=7zuenQNvJTxWBdynTuByWA%3D%3D&trackingId=FKeFsZ%2BMLJ5JREQsDR%2FfRg%3D%3D
ML-AI Engineering Intern,Bain & Company,"San Francisco, CA",deep learning; go; machine learning; mlops; python; r,2,"What Makes Us A Great Place To Work We are proud to be consistently recognized as one of the world’s best places to work. We are currently the top ranked consulting firm on Glassdoor’s Best Places to Work list and have earned the #1 spot a record seven times. Extraordinary teams are at the heart of our business strategy, but these don’t happen by chance. They require intentional focus on bringing together a broad set of backgrounds, cultures, experiences, perspectives, and skills in a supportive and inclusive work environment. We hire people with exceptional talent and create an environment in which every individual can thrive professionally and personally. About Bain AI, Insights & Solutions (AIS) Bain’s AI, Insights & Solutions (AIS) team works with clients to design and deliver...",https://www.linkedin.com/jobs/view/ml-ai-engineering-intern-at-bain-company-4383296967?position=3&pageNum=7&refId=7zuenQNvJTxWBdynTuByWA%3D%3D&trackingId=uBUANyo3LGNVjdGqhKQhmA%3D%3D
Machine Learning Engineer,Get Offers,United States,go; machine learning; mlops; python; pytorch; r; scala; tensorflow,3,"Title: Machine Learning Engineer Engagement: Hourly contract (independent contractor) Location: Remote RATE: USD 70-250/Hour We are expanding our Machine Learning Engineer Expert Network on behalf of one of our clients supporting advanced AI, data science, and intelligent systems initiatives. This ongoing opportunity connects experienced ML engineers with organizations seeking expertise in model development, deployment, and scalable machine learning infrastructure through flexible remote engagements. What You’ll Get Matched with companies actively hiring for Machine Learning Engineer roles Flexible engagement options (full-time, part-time, or project-based) Competitive hourly compensation AI-powered matching that surfaces relevant opportunities What We’re Looking For Professional...",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-get-offers-4383762591?position=4&pageNum=7&refId=7zuenQNvJTxWBdynTuByWA%3D%3D&trackingId=eTCsDoy71kKoo7gz7gpzMQ%3D%3D
Machine Learning Engineer,Judi Health,"New York, NY",aws; go; machine learning; nlp; python; pytorch; r; rust; scala,2,"About Judi Health Judi Health is an enterprise health technology company providing a comprehensive suite of solutions for employers and health plans, including: Capital Rx, a public benefit corporation delivering full-service pharmacy benefit management (PBM) solutions to self-insured employers, Judi Health™, which offers full-service health benefit management solutions to employers, TPAs, and health plans, and Judi®, the industry’s leading proprietary Enterprise Health Platform (EHP), which consolidates all claim administration-related workflows in one scalable, secure platform. Together with our clients, we’re rebuilding trust in healthcare in the U.S. and deploying the infrastructure we need for the care we deserve. To learn more, visit www.judi.health. Position Summary Join our...",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-judi-health-4383400104?position=6&pageNum=7&refId=7zuenQNvJTxWBdynTuByWA%3D%3D&trackingId=00bcbRrK7JO3z69vu%2FEJiA%3D%3D
AI/ML Developer,BALIN TECHNOLOGIES LLC,"Chicago, IL",azure; machine learning; mlops; numpy; pandas; python; pytorch; r; scikit-learn; tensorflow,10,"(Hybrid: 3 days onsite) Core Responsibilities Agentic AI Development: Design, build, and optimize autonomous agent systems using frameworks like LangGraph, AutoGen, and Haystack Agents Generative AI Implementation: Build and refine Large Language Models (LLM) and Retrieval-Augmented Generation (RAG) systems, primarily within the Microsoft Azure cloud environment Stakeholder Collaboration: Partner with risk and business stakeholders to identify workflows suitable for AI-driven productivity improvements Operational Excellence: Implement MLOps and LLMOps best practices for continuous integration, deployment, and monitoring of AI solutions Prompt Engineering: Develop and optimize prompts for LLMs to ensure accurate, context-aware outputs for complex financial business cases.echnical...",https://www.linkedin.com/jobs/view/ai-ml-developer-at-balin-technologies-llc-4378678448?position=8&pageNum=7&refId=7zuenQNvJTxWBdynTuByWA%3D%3D&trackingId=L2TDX4skwWh2EahYR5uyxQ%3D%3D
AI/ML Engineer,Savant Bio,"New York, NY",aws; machine learning; nlp; python; pytorch; r; scala,3,"About Us: Savant is transforming how healthcare and life sciences organizations unlock the value trapped in unstructured medical data. Our platform combines cutting-edge large language models (LLMs) with domain-specific quality controls to convert free-text clinical records into structured, analysis-ready data — efficiently, accurately, and at scale. We work with leading institutions across healthcare, life sciences, and research, supporting faster studies, sharper insights, and better care. Backed by Roivant (NASDAQ: ROIV), Savant is built for organizations that see structured data not just as an output, but as a foundation for innovation. The Opportunity: We’re hiring an AI/ML Engineer to help build and scale the infrastructure behind Savant’s clinical data structuring platform. In this...",https://www.linkedin.com/jobs/view/ai-ml-engineer-at-savant-bio-4281817025?position=9&pageNum=7&refId=7zuenQNvJTxWBdynTuByWA%3D%3D&trackingId=WzZzbov9nKdTwCXueV0azQ%3D%3D
ML-AI Engineering Intern,Bain & Company,"Boston, MA",deep learning; go; machine learning; mlops; python; r,2,"What Makes Us A Great Place To Work We are proud to be consistently recognized as one of the world’s best places to work. We are currently the top ranked consulting firm on Glassdoor’s Best Places to Work list and have earned the #1 spot a record seven times. Extraordinary teams are at the heart of our business strategy, but these don’t happen by chance. They require intentional focus on bringing together a broad set of backgrounds, cultures, experiences, perspectives, and skills in a supportive and inclusive work environment. We hire people with exceptional talent and create an environment in which every individual can thrive professionally and personally. About Bain AI, Insights & Solutions (AIS) Bain’s AI, Insights & Solutions (AIS) team works with clients to design and deliver...",https://www.linkedin.com/jobs/view/ml-ai-engineering-intern-at-bain-company-4383501743?position=10&pageNum=7&refId=7zuenQNvJTxWBdynTuByWA%3D%3D&trackingId=ODlKvgDVbS6af%2Fj6u9sh7g%3D%3D